unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
33,The Water Lily Pond,3,"Bright, it's daytime in the painting, happy ",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,1,25,"Living room,Dining room","Friends,By yourself",Summer,Hot dog,"Bright, happy, or calm lo-fi music - piano, major key. "
34,The Persistence of Memory,7,"It makes me feel slightly uneasy but also calm at the same time. The scene feels quiet and almost frozen, like everything is happening very slowly or outside of normal time.",3 - Neutral/Unsure,1 - Strongly disagree,4 - Agree,4 - Agree,5,5,500,Office,By yourself,Winter,I can't imagine it as a food.,"The soundtrack would be very slow and minimal, with long stretches of silence between soft, drawn-out sounds."
34,The Starry Night,8,"The movement in the scene feels alive, as if the world is constantly shifting and breathing, which creates a sense of emotional intensity. It feels expressive and emotional, but not hopeless.",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,2,3000,Bedroom,By yourself,Fall,"It would be like a strong, rich soup.","The soundtrack would be fast-moving and emotionally charged, with repeating patterns that rise and fall in intensity."
34,The Water Lily Pond,4,"It makes me feel calm and relaxed, like taking a quiet pause from everything else. The scene feels gentle and soothing, encouraging slow breathing and stillness.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,2,4000,Bedroom,Friends,Spring,Vegetables.,"The soundtrack would be slow and very soft, with smooth, steady tones that feel evenly balanced."
35,The Persistence of Memory,1,"Strange, repressed",5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,3,5,3.14,Office,"Family members,By yourself",Fall,expired but unmelted ice cream,The sound produced by the continuous vibration of metal
35,The Starry Night,4,feel nothing,2 - Disagree,2 - Disagree,4 - Agree,3 - Neutral/Unsure,3,3,10,Bedroom,"Family members,By yourself",Winter,Hanamaki,Symphony for Orchestra
35,The Water Lily Pond,5,This painting awakens memories from my childhood.,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,1,2,4,Living room,"Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Vegetable Salad,A cheerful flute solo
36,The Persistence of Memory,7,"This picture gives me a sense of desparation, a feeling of sunset.",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,4,4,888,Office,By yourself,Fall,It would be an icecream.,"The soundtrack would be rushed piano in the beginning, slows down gradually with tickling sound, then goes to very slow and sad string ensemble."
36,The Starry Night,5,Makes me feel very dreamy and dazzling. ,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4 - Agree,3,2,8888888,Bedroom,Friends,Summer,Pudding ,It would be like a lullaby
36,The Water Lily Pond,2,"This gives me a Spring vibe, with peaceful feelings. ",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,1,2,88,Living room,Family members,Spring,Honey,"This soundtrack would be a very cheerful with guitar, the music slowing clam down with sounds of waterdrops. "
37,The Persistence of Memory,8,Time is not very important when in the middle of nature.,4 - Agree,2 - Disagree,5 - Strongly agree,4 - Agree,5,2,20,Office,"Friends,Family members,Coworkers/Classmates,By yourself",Summer,Lobster,melancholic
37,The Starry Night,3,It makes me feel somewhat sad and overwhelmed. ,5 - Strongly agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,3,3,10,Living room,Family members,Winter,apple pie,horror
37,The Water Lily Pond,6,"Makes me feel happy, joyful and appreciative",1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,2,3,20,"Bedroom,Office,Living room","Friends,Family members,Strangers,By yourself",Spring,ice cream,melody
38,The Persistence of Memory,8,Makes me feel like I am running out of time,4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,6,4,"$1,000",Bathroom,"Friends,Family members",Fall,Turkey with gravy,slow Mozart song
38,The Starry Night,10,intrigued,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,5,5,"$20,000,000",Bedroom,"Friends,Family members,Coworkers/Classmates,By yourself","Summer,Winter",Lemon,whitenoise
38,The Water Lily Pond,7,"Excited, Bright, immersed and aroused",4 - Agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,"$50,000","Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Grapes by the vine,Upbeat and jolly
39,The Persistence of Memory,7,"I feel anxious, worried about time, endless and a little bit peaceful.",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,3,5,500,Dining room,By yourself,"Fall,Winter",Sandwich.,A soothing combination of ocean waves and delicate piano.
39,The Starry Night,10,Calm and peace.,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,"100,000,000.00","Bedroom,Living room","Friends,Family members,By yourself",Summer,Soda.,"A summer night breeze, gentle waves, and the faint sound of something falling from the sky."
39,The Water Lily Pond,10,"Calm, spring, warm.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,3,"10,000.00","Bedroom,Living room,Dining room","Friends,Family members",Spring,Strawberry shortcake.,"Birds singing, a warm breeze drifting, and water flowing."
40,The Persistence of Memory,5,Disoriented and dizzy,2 - Disagree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,3,3,10000,Office,By yourself,Fall,pancake with syrup,slow steady cello instrumental
40,The Starry Night,8,Dreamy and serene,3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,3,4,10000000,"Living room,Dining room",Family members,Winter,spaghetti,looping arpeggiated piano
40,The Water Lily Pond,2,reflective and sleepy,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,2,100000,Bedroom,Friends,Spring,tea with biscuit,airy floating flute
41,The Persistence of Memory,8,The painting makes me feel tired and lethargic. ,4 - Agree,1 - Strongly disagree,4 - Agree,5 - Strongly agree,6,5,15000,"Office,Living room","Strangers,By yourself","Summer,Fall",Sandwich,"The soundtrack would be very moody and low sounding, all of it would be classical music. "
41,The Starry Night,10,"It makes me feel thoughtful, wishful, and dreamy. ",5 - Strongly agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,2,150000,"Office,Living room,Dining room","Friends,Strangers,By yourself","Spring,Winter",Soup,"This soundtrack would be very dreamy and elegant, light notes, very wistful. Light classical music that builds up to a very loud crescendo. "
41,The Water Lily Pond,6,"It makes me feel airy and light, I feel like anything is possible. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,20000,"Bedroom,Office,Living room","Family members,Strangers,By yourself","Spring,Summer",Salad,This soundtrack would be very light and joyous. Happy classical music with a lot of flutes and airy instruments. 
42,The Persistence of Memory,8,It makes me feel very melancholy. It almost forces me to take a step back and reflect. Just puts time in a different perspective,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,4,5,100000,"Office,Living room",By yourself,"Fall,Winter",Deconstructed Big Mac at a high end restaurant,"Slow, dramatic, pensive"
42,The Starry Night,5,"Calm, Interested, Drawn",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,3,500000,"Bedroom,Living room","Friends,By yourself",Winter,Blueberry and Miso Cheesecake,"Piano solo. Captivating, Intense sometimes, slow sometimes."
42,The Water Lily Pond,7,"Energetic, Happy, Intrigued",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,250000,"Bedroom,Bathroom,Office,Living room","Friends,Family members,Coworkers/Classmates,Strangers",Spring,The freshest and juiciest mango ever,"Guitar and strong vocals. Very upbeat, very uplifting"
43,The Persistence of Memory,4,"This painting gives me a sense that time is constantly flowing by. As time passes, the ocean gradually dries up and life perishes.",2 - Disagree,1 - Strongly disagree,4 - Agree,3 - Neutral/Unsure,4,4,400,Office,"Coworkers/Classmates,Strangers",Winter,Gummy candy,"The melody moves at a very slow pace, yet the drumbeat remains crisp and distinct, like a clock ticking precisely every second. Occasional piano accompaniment adds to the oppressive atmosphere."
43,The Starry Night,7,"This painting calms me, letting go of distracting thoughts, leaving me to quietly appreciate the beauty.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,2,50000,"Bathroom,Living room","Friends,Coworkers/Classmates,By yourself",Summer,Coffee with beautiful latte art,"This will be a vibrant piece of instrumental music, evoking a sense of surging energy."
43,The Water Lily Pond,3,"This painting appears serene on the surface, yet it evokes a deeper sense of unease within me. I persistently feel that this tranquility is merely an illusion, concealing a turbulent undercurrent beneath.",2 - Disagree,3 - Neutral/Unsure,4 - Agree,4 - Agree,3,1,5000,"Living room,Dining room",Family members,"Spring,Summer",Vegetable Salad,"A very tranquil piece of instrumental music, accompanied by the melodious sound of a flute."
44,The Persistence of Memory,8,"It makes me feel anxious, uneasy, lonely, and tired.",3 - Neutral/Unsure,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,4,5,50,Bedroom,"Family members,By yourself",Summer,toast,"Slow, quiet, soft, low, and foggy."
44,The Starry Night,9,"It makes me feel anxious, excited, at awe, cold, and nostalgic.",3 - Neutral/Unsure,2 - Disagree,2 - Disagree,4 - Agree,3,4,100,"Bedroom,Living room","Family members,By yourself","Summer,Fall",ice cream sandwich,"Initially calm and quiet, gradually become louder and more exiting, and then finally back to quiet and calm. Include the piano."
44,The Water Lily Pond,7,"It makes me feel calm, warm, relaxed, and peaceful.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,50,"Bedroom,Living room,Dining room","Family members,By yourself","Spring,Summer",salad,"Soft, gentle, slow, lighthearted, upbeat, and with consistent tempo."
45,The Persistence of Memory,7,,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4 - Agree,5,7,20,Office,Coworkers/Classmates,Fall,icecream,Sci-fi movie themed song
45,The Starry Night,8,It feels lonely.,5 - Strongly agree,4 - Agree,4 - Agree,2 - Disagree,5,6,10000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members",Fall,Cream Pie,
45,The Water Lily Pond,5,"Soft, warm, easy, relax, freash, slow",1 - Strongly disagree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5,4,100000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,grape,"slow-pace orchestra, soft in background, elegant melody"
46,The Persistence of Memory,6,nostalgic and melancholic,4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,7,0,Office,By yourself,"Summer,Fall",ombre cake,The fading of summer
46,The Starry Night,7,peaceful and wonder,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,15,25,"Bedroom,Living room","Family members,By yourself","Summer,Winter",cuttlefish ink spaghetti,"twinkling candles, calm wind, sound of forest, birds chirping, quiet, peace"
46,The Water Lily Pond,7,"energetic, happy, stunned by beauty in nature",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,3,25,"Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers","Spring,Summer",strawberry pie,vivaldi: spring
47,The Persistence of Memory,7,"Calm, introspective, somewhat dark",3 - Neutral/Unsure,1 - Strongly disagree,2 - Disagree,3 - Neutral/Unsure,7,5,25,Living room,"Friends,Family members",Fall,Cookie,"A breeze and leaves gently blowing, with a gentle, constant, and rhythmic hum in the background"
47,The Starry Night,8,"This picture made me feel emotional and intense, a bit on edge even",2 - Disagree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,3,5,100,Office,Strangers,Fall,Curry,"A mash, sometimes a cacophony, of sounds. Quiet at times, loud at other times, but ever-present"
47,The Water Lily Pond,3,"Calm, gentle, cheery",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,3,125,"Bedroom,Bathroom,Office,Dining room",Friends,Spring,Cotton candy,"Birds chirping, breeze blowing, leaves ruffling"
48,The Persistence of Memory,7,The painting makes me feel like time is passing by very slowly. The clocks are hung up on the cliff or on the tree branches in a fluid and in melting motion. The melting represent that the clocks itself had been exposed to the sun for a long time indicating the passing of long time. Since the clock is located far from the water in the abyss with no people there stands a separate between present which is the water that flows and time being on the shore.,5 - Strongly agree,2 - Disagree,5 - Strongly agree,5 - Strongly agree,4,5,1000,"Bedroom,Living room","Family members,By yourself",Fall,Cheese,The godfather
48,The Starry Night,6,"The painting makes me feel joyful as if met with the ecstatic smile of children. The painting portrays a calm and playful nature as the colours surround the sun and use of bright colours pop the painting. Especially, the painting feels inclusive and very secure. There stands a huge bolder or tree that stands as the ""guardian"" for the little houses and the villages below. Thus, this portrays a sense of protection of the village by the big tree and sun. Also the cloud or stars wrapping around the sun gives amazing harmony on the sky and creates a celebration.",1 - Strongly disagree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,2,2,500,"Bedroom,Dining room","Friends,Family members",Summer,cheesecake,Baby Lullaby
48,The Water Lily Pond,10,"It makes me feel lost in a fairy garden. This painting give an immense sense of calm and imagination in an alternate universe. The painting is filled with lively fresh plants and clean water, with a slight human touch of a bridge blending well with the environment. These characteristics makes the painting hopeful and dreamy. The excessive plants and lily pads in the waters remind me of sacred ground and natures secret spot where the elves would take their evening bath. Also looking at the painting I can recall a scene of a disney princess fairy tale where the princess would wander in the woods and attract friendly animals due to the forgiving and kind nature of the forest.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,1,2000,"Bedroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Salad,Part of Your World
